,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
0,2013 Hyundai i10,MAGNA 1.2,Manual,"1,07,580 km",1st Owner,Petrol,TN-12,"5,924/month","3,03,000","Navalur
"
1,2020 Tata Tiago,XT PETROL,Manual,"51,578 km",1st Owner,Petrol,TN-85,"10,694/month","5,47,000","Thiruverkadu, Chennai
"
2,2015 Volkswagen Vento,HIGHLINE 1.6 MPI,Manual,"76,528 km",3rd Owner,Petrol,TN-10,"10,283/month","5,26,000","Thiruverkadu, Chennai
"
3,2017 Renault Kwid,RXT 1.0 AMT (O),Automatic,"33,030 km",2nd Owner,Petrol,TN-11,"6,686/month","3,42,000","Thiruverkadu, Chennai
"
4,2015 Ford Ecosport,TITANIUM 1.5L PETROL AT,Automatic,"74,365 km",1st Owner,Petrol,TN-13,"10,889/month","5,57,000","Thiruverkadu, Chennai
"
5,2017 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"74,057 km",1st Owner,Diesel,TN-11,"13,060/month","6,68,000","Thiruverkadu, Chennai
"
6,2014 Hyundai Xcent,SX 1.2,Manual,"61,993 km",2nd Owner,Petrol,TN-65,"7,507/month","3,84,000","Navalur
"
7,2020 Hyundai Creta,SX (O) 1.5 DIESEL,Manual,"58,418 km",1st Owner,Diesel,TN-37,"28,132/month","14,78,000","Thiruverkadu, Chennai
"
8,2016 Mahindra Kuv100,K8 6 STR,Manual,"35,735 km",1st Owner,Petrol,TN-07,"9,247/month","4,73,000","Thiruverkadu, Chennai
"
9,2019 Ford Ecosport,TREND 1.5L PETROL,Manual,"74,096 km",1st Owner,Petrol,TN-11,"13,587/month","6,95,000","Thiruverkadu, Chennai
"
10,2018 Maruti Swift,VXI AMT,Automatic,"58,704 km",1st Owner,Petrol,TN-10,"12,062/month","6,17,000","Navalur
"
11,2012 Hyundai Santro Xing,GL PLUS,Manual,"76,730 km",1st Owner,Petrol,TN-22,"5,767/month","2,95,000","Navalur
"
12,2019 Volkswagen Ameo,Trendline 1.0,Manual,"63,623 km",1st Owner,Petrol,TN-22,"9,560/month","4,89,000","Navalur
"
