,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
0,2013 Hyundai i10,ERA 1.1 IRDE,Manual,"68,648 km",3rd Owner,CNG,DL-10,"3,812/month","1,95,000","GIP Mall, Noida"
1,2016 Maruti Wagon R 1.0,VXI,Manual,"75,027 km",2nd Owner,Petrol,DL-8C,"5,767/month","2,95,000","Sector-18, Noida"
2,2016 Honda Brio,E MT,Manual,"59,609 km",1st Owner,Petrol,DL-10,"6,100/month","3,12,000","GIP Mall, Noida"
3,2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"20,275 km",1st Owner,Petrol,DL-8C,"9,540/month","4,88,000","Metro Walk, Rohini, New Delhi"
4,2017 Honda City,1.5L I-VTEC V MT,Manual,"48,188 km",1st Owner,Petrol,DL-3C,"13,294/month","6,80,000","Sector-18, Noida"
5,2019 Honda Amaze,1.2L I-VTEC E,Manual,"21,461 km",1st Owner,Petrol,DL-4C,"10,889/month","5,57,000","Sector-18, Noida"
6,2019 Maruti Swift,LXI,Manual,"40,131 km",1st Owner,CNG,HR-87,"10,498/month","5,37,000","M3M Urbana, Golf Course Extension, Gurugram"
7,2019 Tata Harrier,XZ DARK EDITION,Manual,"52,860 km",2nd Owner,Diesel,HR-26,"25,449/month","13,37,000","M3M Urbana, Golf Course Extension, Gurugram"
8,2018 Datsun Redi Go,D,Manual,"16,647 km",1st Owner,Petrol,HR-50,"3,930/month","2,01,000","Spaze Platinum, Sohna Road, Gurugram"
9,2013 Volkswagen Polo,COMFORTLINE 1.2L PETROL,Manual,"79,284 km",1st Owner,Petrol,DL-10,"5,709/month","2,92,000","Metro Walk, Rohini, New Delhi"
10,2018 Renault Kwid,CLIMBER 1.0 AMT,Automatic,"65,927 km",1st Owner,Petrol,UP-14,"6,178/month","3,16,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
11,2020 Hyundai VENUE,SMT 1.5 CRDI,Manual,"40,734 km",1st Owner,Diesel,HR-52,"15,406/month","7,88,000","Metro Walk, Rohini, New Delhi"
12,2019 Volkswagen Ameo,COMFORTLINE 1.0,Manual,"43,806 km",1st Owner,CNG,HR-51,"10,479/month","5,36,000","Spaze Platinum, Sohna Road, Gurugram"
13,2017 Tata Tiago,XZ 1.2 REVOTRON,Manual,"91,033 km",1st Owner,Petrol,DL-1C,"7,527/month","3,85,000",
14,2014 Honda City,1.5L I-VTEC SV,Manual,"1,00,943 km",2nd Owner,Petrol,DL-8C,"8,739/month","4,47,000","Sector-18, Noida"
15,2016 Maruti Swift,VXI,Manual,"12,527 km",1st Owner,Petrol,DL-3C,"8,602/month","4,40,000","Metro Walk, Rohini, New Delhi"
