,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
0,2018 Datsun Go,T,Manual,"70,200 km",1st Owner,Petrol,TS-33,"8,485/month","4,34,000","Kompally, Hyderabad"
1,2016 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"88,060 km",1st Owner,Petrol,TS-08,"15,303/month","8,04,000","Bachupally, Hyderabad"
2,2016 Volkswagen Polo,COMFORTLINE 1.2L,Manual,"72,947 km",1st Owner,Petrol,TS-07,"9,384/month","4,80,000","Kompally, Hyderabad"
3,2018 Honda Amaze,1.5L I-DTEC V CVT,Automatic,"97,208 km",1st Owner,Diesel,TS-08,"14,663/month","7,50,000","Kompally, Hyderabad"
4,2018 Honda Amaze,1.2L I-VTEC V,Manual,"96,863 km",1st Owner,Petrol,TS-10,"12,062/month","6,17,000","Bachupally, Hyderabad"
5,2012 Hyundai i10,MAGNA 1.2,Manual,"40,724 km",3rd Owner,Petrol,AP-28,"6,315/month","3,23,000","Kompally, Hyderabad"
6,2016 Datsun Go Plus,T,Manual,"1,15,977 km",1st Owner,Petrol,TS-10,"5,279/month","2,70,000","Attapur, Hyderabad"
7,2016 Renault Kwid,RXL,Manual,"1,01,471 km",2nd Owner,Petrol,TS-08,"5,063/month","2,59,000","Kompally, Hyderabad"
8,2011 Hyundai i10,SPORTZ 1.2 AT,Automatic,"75,552 km",2nd Owner,Petrol,AP-11,"6,686/month","3,42,000","Kompally, Hyderabad"
9,2018 Honda Amaze,1.5L I-DTEC S OPT,Manual,"31,980 km",1st Owner,Diesel,TS-09,"11,808/month","6,04,000","Bachupally, Hyderabad"
10,2013 Hyundai i10,SPORTZ 1.2 AT,Automatic,"24,547 km",1st Owner,Petrol,AP-10,"7,527/month","3,85,000","Kompally, Hyderabad"
11,2015 Maruti Swift Dzire,VXI,Manual,"67,037 km",1st Owner,Petrol,TS-15,"9,599/month","4,91,000","Bachupally, Hyderabad"
12,2015 Honda Jazz,1.2L I-VTEC SV,Manual,"85,589 km",2nd Owner,Petrol,TS-13,"8,426/month","4,31,000","Bachupally, Hyderabad"
13,2018 Maruti IGNIS,SIGMA 1.2,Manual,"1,03,763 km",1st Owner,Petrol,TS-15,"7,449/month","3,81,000","Kompally, Hyderabad"
14,2021 Maruti Swift,VXI,Manual,"12,045 km",2nd Owner,Petrol,TS-29,"14,135/month","7,23,000","Kompally, Hyderabad"
15,2020 Maruti Dzire,VXI,Manual,"88,118 km",1st Owner,Petrol,TS-10,"13,646/month","6,98,000","Kompally, Hyderabad"
16,2019 MG HECTOR,SHARP 2.0 DIESEL,Manual,"56,923 km",1st Owner,Diesel,TS-07,"30,112/month","15,82,000","Kompally, Hyderabad"
17,2018 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"65,331 km",1st Owner,Petrol,TS-28,"10,264/month","5,25,000","Kompally, Hyderabad"
18,2017 Maruti Ciaz,DELTA 1.4 AT PETROL,Automatic,"48,247 km",1st Owner,Petrol,TS-09,"13,978/month","7,15,000","Attapur, Hyderabad"
19,2020 Hyundai VENUE,S 1.2,Manual,"12,586 km",1st Owner,Petrol,TS-08,"15,464/month","7,91,000","Kompally, Hyderabad"
20,2018 Maruti Alto K10,VXI,Manual,"44,478 km",1st Owner,Petrol,TS-13,"6,960/month","3,56,000","Attapur, Hyderabad"
21,2018 Honda WR-V,1.2L I-VTEC VX MT,Manual,"67,230 km",1st Owner,Petrol,TS-09,"13,509/month","6,91,000","Kompally, Hyderabad"
22,2020 Mahindra Thar,LX D AT 4WD HT,Automatic,"62,741 km",1st Owner,Diesel,TS-02,"29,674/month","15,59,000","Kompally, Hyderabad"
23,2019 Maruti Swift,VXI,Manual,"54,187 km",1st Owner,Petrol,TS-07,"11,496/month","5,88,000","Attapur, Hyderabad"
24,2013 Honda City,1.5L I-VTEC V MT,Manual,"83,446 km",1st Owner,Petrol,AP-30,"10,596/month","5,42,000","Kompally, Hyderabad"
25,2017 Maruti Ciaz,ZETA DIESEL 1.3,Manual,"1,02,515 km",1st Owner,Diesel,TS-09,"15,503/month","7,93,000","Kompally, Hyderabad"
26,2015 Honda City,1.5L I-VTEC V MT,Manual,"69,791 km",1st Owner,Petrol,TS-09,"12,121/month","6,20,000","Attapur, Hyderabad"
27,2018 Hyundai New Elantra,2.0 SX(O) AT PETROL,Automatic,"44,123 km",1st Owner,Petrol,TS-09,"23,850/month","12,53,000","Kompally, Hyderabad"
28,2020 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,Manual,"34,948 km",2nd Owner,Petrol,TS-08,"12,219/month","6,25,000","Kompally, Hyderabad"
29,2015 Hyundai Eon,D-LITE+,Manual,"25,121 km",1st Owner,Petrol,TS-11,"5,494/month","2,81,000","Kompally, Hyderabad"
30,2019 Renault Duster,RXS CVT,Automatic,"5,933 km",1st Owner,Petrol,TS-11,"15,893/month","8,35,000","Kompally, Hyderabad"
31,2017 Renault Kwid,RXT 1.0,Manual,"29,011 km",1st Owner,Petrol,TS-10,"6,764/month","3,46,000","Kompally, Hyderabad"
32,2021 MG HECTOR,SMART HYBRID 1.5 PETROL,Manual,"2,672 km",1st Owner,Petrol,TS-09,"30,093/month","15,81,000","Kompally, Hyderabad"
33,2018 Honda WR-V,1.2 i-VTEC VX MT,Manual,"27,581 km",2nd Owner,Petrol,TS-36,"13,040/month","6,67,000","Bachupally, Hyderabad"
34,2018 Volkswagen Polo,COMFORTLINE 1.0L MPI,Manual,"1,01,739 km",1st Owner,Petrol,TS-07,"9,912/month","5,07,000","Bachupally, Hyderabad"
35,2016 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"1,00,601 km",2nd Owner,Diesel,TS-12,"10,342/month","5,29,000","Attapur, Hyderabad"
36,2016 Maruti Swift Dzire,VXI,Manual,"87,113 km",1st Owner,Petrol,TS-08,"10,225/month","5,23,000","Attapur, Hyderabad"
37,2017 Hyundai Creta,1.6 SX PLUS PETROL,Manual,"46,813 km",1st Owner,Petrol,TS-09,"17,797/month","9,35,000","Attapur, Hyderabad"
38,2012 Hyundai i10,ERA 1.1 LPG,Manual,"51,068 km",1st Owner,LPG,AP-11,"5,924/month","3,03,000","Kompally, Hyderabad"
39,2014 Mahindra XUV500,W8 FWD,Manual,"96,302 km",1st Owner,Diesel,AP-28,"15,093/month","7,72,000","Kompally, Hyderabad"
40,2021 Renault Kwid,RXE,Manual,"14,996 km",1st Owner,Petrol,TS-09,"7,801/month","3,99,000","Kompally, Hyderabad"
