,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
0,2014 Hyundai Xcent,SX 1.2 (O),Manual,"45,750 km",1st Owner,Petrol,MH-01,"7,801/month","3,99,000","Goregaon, Mumbai"
1,2017 Mahindra KUV 100 NXT,K8 P 6 STR,Manual,"18,220 km",1st Owner,Petrol,MH-02,"8,837/month","4,52,000","Mulund, Mumbai"
2,2016 Maruti Alto 800,LXI,Manual,"42,390 km",1st Owner,Petrol,MH-02,"5,063/month","2,59,000","Rupa Renaissance, Navi Mumbai"
3,2020 KIA SELTOS,GTX PLUS 1.4 PETROL,Manual,"20,450 km",2nd Owner,Petrol,MH-47,"25,753/month","13,53,000","Goregaon, Mumbai"
4,2022 KIA CARENS,PRESTIGE 1.4 PETROL 7 STR,Manual,"13,034 km",1st Owner,Petrol,MH-02,"22,993/month","12,08,000","Goregaon, Mumbai"
5,2016 Hyundai Elite i20,MAGNA 1.2,Manual,"14,767 km",1st Owner,Petrol,MH-47,"9,920/month","5,07,400","Rupa Renaissance, Navi Mumbai"
6,2018 Datsun Redi Go,A,Manual,"37,892 km",2nd Owner,Petrol,MH-03,"4,418/month","2,26,000","Goregaon, Mumbai"
7,2013 Toyota Innova,2.5 GX 8 STR,Manual,"67,810 km",4th Owner,Diesel,MH-12,"11,984/month","6,13,000","Mulund, Mumbai"
8,2017 Skoda Rapid,AMBITION 1.6 MPI AT,Automatic,"51,108 km",1st Owner,Petrol,MH-01,"10,948/month","5,60,000","Rupa Renaissance, Navi Mumbai"
9,2022 Tata TIAGO NRG,XZ ICNG,Manual,"2,687 km",1st Owner,CNG,MH-12,"15,073/month","7,71,000","Rupa Renaissance, Navi Mumbai"
10,2013 Honda City,1.5L I-VTEC S MT,Manual,"89,471 km",2nd Owner,CNG,MH-43,"7,429/month","3,80,000","Mulund, Mumbai"
11,2013 Honda Amaze,1.5L I-DTEC EX,Manual,"94,659 km",2nd Owner,Diesel,MH-02,"6,686/month","3,42,000","Mulund, Mumbai"
12,2011 Honda City,1.5L I-VTEC S MT,Manual,"97,730 km",1st Owner,Petrol,MH-02,"6,061/month","3,10,000","Mulund, Mumbai"
13,2020 Maruti Swift,VXI,Manual,"16,699 km",1st Owner,Petrol,MH-43,"12,942/month","6,62,000","Goregaon, Mumbai"
14,2019 Honda City,1.5L I-VTEC V MT,Manual,"27,976 km",1st Owner,Petrol,MH-47,"15,912/month","8,36,000","Rupa Renaissance, Navi Mumbai"
15,2016 Mahindra XUV500,W10 AT,Automatic,"49,648 km",1st Owner,Diesel,MH-48,"19,358/month","10,17,000","Goregaon, Mumbai"
16,2017 Maruti Swift,VXI,Manual,"35,029 km",1st Owner,Petrol,MH-01,"8,817/month","4,51,000","Mulund, Mumbai"
17,2012 Honda Brio,V MT,Manual,"79,996 km",2nd Owner,Petrol,MH-01,"4,438/month","2,27,000","Goregaon, Mumbai"
18,2018 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"26,090 km",1st Owner,Petrol,MH-01,"13,138/month","6,72,000","Goregaon, Mumbai"
19,2019 Jeep Compass,LIMITED PLUS PETROL AT,Automatic,"36,844 km",1st Owner,Petrol,MH-47,"31,539/month","16,57,000","Goregaon, Mumbai"
20,2012 Honda City,1.5L I-VTEC S MT,Manual,"1,05,034 km",1st Owner,Petrol,MH-48,"6,647/month","3,40,000","Mulund, Mumbai"
21,2017 Maruti Swift Dzire,VDI,Manual,"66,973 km",2nd Owner,Diesel,MH-04,"11,750/month","6,01,000","Mulund, Mumbai"
22,2012 Skoda Rapid,1.6 MPI AT AMBITION PLUS,Automatic,"61,285 km",2nd Owner,Petrol,MH-01,"6,725/month","3,44,000",
23,2011 Toyota Etios Liva,G,Manual,"42,147 km",1st Owner,Petrol,MH-02,"5,259/month","2,69,000","Rupa Renaissance, Navi Mumbai"
24,2014 Toyota Innova,2.5 VX 8 STR,Manual,"82,310 km",2nd Owner,Diesel,MH-02,"17,873/month","9,39,000","Mulund, Mumbai"
25,2017 Maruti Dzire,ZXI AMT,Automatic,"36,367 km",2nd Owner,Petrol,MH-02,"11,965/month","6,12,000","Goregaon, Mumbai"
26,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"34,546 km",1st Owner,Petrol,MH-12,"6,764/month","3,46,000","Goregaon, Mumbai"
27,2014 Skoda Rapid,AMBITION 1.6 TDI CR MT PLUS,Manual,"68,670 km",1st Owner,Diesel,MH-02,"8,074/month","4,13,000","Rupa Renaissance, Navi Mumbai"
28,2016 Maruti Ciaz,VDI+ SHVS,Manual,"51,858 km",1st Owner,Diesel,MH-47,"12,062/month","6,17,000","Goregaon, Mumbai"
29,2016 Honda Amaze,1.2L I-VTEC E,Manual,"17,167 km",1st Owner,Petrol,MH-02,"8,231/month","4,21,000","Mulund, Mumbai"
30,2020 Hyundai Creta,EX 1.5 PETROL,Manual,"13,812 km",2nd Owner,Petrol,MH-47,"19,224/month","10,10,000","Goregaon, Mumbai"
31,2018 Maruti Baleno,ALPHA PETROL 1.2,Manual,"19,608 km",2nd Owner,Petrol,MH-05,"12,004/month","6,14,000","Goregaon, Mumbai"
32,2020 Honda Civic,ZX CVT PETROL,Automatic,"30,097 km",1st Owner,Petrol,MH-04,"32,643/month","17,15,000","Goregaon, Mumbai"
33,2013 Toyota Corolla Altis,GL PETROL,Manual,"1,04,699 km",2nd Owner,Petrol,MH-01,"6,979/month","3,57,000","Mulund, Mumbai"
34,2020 Tata Tiago,XE PETROL,Manual,"23,688 km",1st Owner,Petrol,MH-04,"9,540/month","4,88,000","Mulund, Mumbai"
35,2018 Maruti Baleno,SIGMA PETROL 1.2,Manual,"32,756 km",1st Owner,Petrol,MH-47,"9,619/month","4,92,000","Goregaon, Mumbai"
36,2022 Maruti New Wagon-R,1.0 Lxi (o) cng,Manual,"8,309 km",1st Owner,CNG,MH-05,"12,649/month","6,47,000","Rupa Renaissance, Navi Mumbai"
37,2019 Hyundai Creta,SX AT 1.6 PETROL,Automatic,"38,166 km",3rd Owner,Petrol,MH-02,"18,920/month","9,94,000","Goregaon, Mumbai"
38,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"51,284 km",1st Owner,Petrol,MH-02,"6,452/month","3,30,000","Mulund, Mumbai"
39,2017 Honda WR-V,1.2L I-VTEC S MT,Manual,"30,995 km",2nd Owner,Petrol,MH-04,"10,577/month","5,41,000","Rupa Renaissance, Navi Mumbai"
40,2021 Maruti New Wagon-R,LXI CNG 1.0,Manual,"32,678 km",2nd Owner,CNG,MH-46,"11,769/month","6,02,000","Rupa Renaissance, Navi Mumbai"
41,2018 Hyundai Verna,1.6 VTVT SX,Manual,"29,276 km",2nd Owner,Petrol,MH-01,"14,272/month","7,30,000","Goregaon, Mumbai"
42,2021 Maruti XL6,ALPHA AT,Automatic,"6,237 km",3rd Owner,Petrol,MH-03,"20,443/month","10,74,000","Mulund, Mumbai"
43,2014 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"65,597 km",3rd Owner,Petrol,MH-02,"6,843/month","3,50,000","Mulund, Mumbai"
44,2017 Maruti Dzire,VXI,Manual,"72,800 km",1st Owner,Petrol,MH-46,"10,518/month","5,38,000","Rupa Renaissance, Navi Mumbai"
45,2017 Hyundai Verna,1.6 VTVT SX,Manual,"45,645 km",2nd Owner,Petrol,MH-03,"15,230/month","7,79,000","Goregaon, Mumbai"
46,2015 Honda City,1.5L I-VTEC S MT,Manual,"28,340 km",1st Owner,Petrol,MH-02,"9,756/month","4,99,000","Goregaon, Mumbai"
47,2016 Maruti Alto 800,LXI,Manual,"34,721 km",1st Owner,Petrol,MH-43,"5,005/month","2,56,000","Goregaon, Mumbai"
48,2014 Hyundai i10,ERA 1.1,Manual,"22,132 km",1st Owner,Petrol,MH-02,"5,533/month","2,83,000","Goregaon, Mumbai"
49,2014 Hyundai New Elantra,1.6 SX MT DIESEL,Manual,"1,10,878 km",1st Owner,Diesel,MH-02,"11,593/month","5,93,000","Mulund, Mumbai"
50,2018 Hyundai Creta,SX 1.6 DIESEL,Manual,"53,785 km",2nd Owner,Diesel,MH-04,"19,301/month","10,14,000","Mulund, Mumbai"
51,2011 Toyota Etios Liva,G,Manual,"44,516 km",2nd Owner,Petrol,MH-02,"4,731/month","2,42,000","Mulund, Mumbai"
52,2022 Hyundai NEW I20,SPORTZ 1.2 AT,Automatic,"2,769 km",1st Owner,Petrol,MH-04,"17,093/month","8,98,000","Mulund, Mumbai"
53,2018 Tata Tiago,XZA PETROL,Automatic,"31,884 km",1st Owner,Petrol,MH-02,"9,443/month","4,83,000","Goregaon, Mumbai"
54,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"27,149 km",1st Owner,Petrol,MH-05,"13,783/month","7,05,000","Rupa Renaissance, Navi Mumbai"
55,2020 Maruti New Wagon-R,VXI 1.2,Manual,"15,105 km",1st Owner,Petrol,MH-40,"11,515/month","5,89,000","Goregaon, Mumbai"
56,2014 Honda City,1.5L I-DTEC V,Manual,"91,771 km",2nd Owner,Diesel,MH-15,"9,462/month","4,84,000","Mulund, Mumbai"
57,2014 Maruti Ertiga,VXI CNG,Manual,"59,133 km",1st Owner,CNG,MH-05,"13,138/month","6,72,000","Rupa Renaissance, Navi Mumbai"
58,2017 Skoda Rapid,STYLE 1.5 TDI AT,Automatic,"56,893 km",1st Owner,Diesel,MH-01,"14,584/month","7,46,000","Goregaon, Mumbai"
59,2019 Honda Amaze,1.2L I-VTEC V CVT,Automatic,"26,129 km",1st Owner,Petrol,MH-01,"13,411/month","6,86,000","Rupa Renaissance, Navi Mumbai"
60,2015 Honda City,1.5L I-VTEC V MT,Manual,"70,118 km",2nd Owner,Petrol,MH-01,"9,247/month","4,73,000","Mulund, Mumbai"
61,2015 Hyundai i10,SPORTZ 1.1,Manual,"45,815 km",1st Owner,Petrol,MH-04,"6,549/month","3,35,000","Goregaon, Mumbai"
62,2018 Tata NEXON,XM PETROL,Manual,"83,378 km",1st Owner,Petrol,MH-20,"11,789/month","6,03,000","Mulund, Mumbai"
63,2015 Renault Duster,85 PS RXE,Manual,"26,480 km",1st Owner,Diesel,MH-02,"10,929/month","5,59,000","Rupa Renaissance, Navi Mumbai"
64,2016 Maruti Ertiga,VXI,Manual,"24,597 km",1st Owner,Petrol,MH-04,"14,408/month","7,37,000","Rupa Renaissance, Navi Mumbai"
65,2019 Tata NEXON,XM PETROL,Manual,"28,058 km",3rd Owner,CNG,MH-01,"13,099/month","6,70,000","Mulund, Mumbai"
66,2018 Skoda Rapid,STYLE 1.6 MPI AT,Automatic,"60,921 km",1st Owner,Petrol,MH-05,"14,076/month","7,20,000","Mulund, Mumbai"
67,2012 Maruti Swift Dzire,VXI,Manual,"72,831 km",1st Owner,Petrol,MH-05,"6,979/month","3,57,000","Goregaon, Mumbai"
68,2015 Honda Jazz,1.2L I-VTEC VX,Manual,"72,596 km",3rd Owner,Petrol,MH-47,"9,110/month","4,66,000","Mulund, Mumbai"
69,2019 Maruti New Wagon-R,VXI (O) 1.0,Manual,"31,216 km",2nd Owner,Petrol,MH-04,"9,658/month","4,94,000","Rupa Renaissance, Navi Mumbai"
70,2018 Honda BR-V,1.5L I-VTEC V,Manual,"31,051 km",2nd Owner,Petrol,MH-01,"15,484/month","7,92,000","Goregaon, Mumbai"
71,2019 Maruti Swift,VXI,Manual,"52,720 km",1st Owner,Petrol,MH-47,"11,867/month","6,07,000","Mulund, Mumbai"
72,2014 Hyundai Verna,FLUIDIC 1.6 VTVT SX,Manual,"42,650 km",1st Owner,Petrol,MH-03,"10,225/month","5,23,000","Goregaon, Mumbai"
73,2012 Maruti Ertiga,VDI,Manual,"94,671 km",1st Owner,Diesel,MH-46,"11,984/month","6,13,000","Rupa Renaissance, Navi Mumbai"
74,2017 Jeep Compass,LIMITED (O) 2.0 DIESEL,Manual,"99,724 km",1st Owner,Diesel,MH-04,"22,346/month","11,74,000","Mulund, Mumbai"
75,2015 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"55,494 km",1st Owner,Petrol,MH-05,"15,151/month","7,75,000","Rupa Renaissance, Navi Mumbai"
76,2015 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"65,655 km",1st Owner,Petrol,MH-47,"15,073/month","7,71,000","Mulund, Mumbai"
77,2015 Hyundai Xcent,S (O) 1.2,Manual,"38,663 km",1st Owner,Petrol,MH-02,"7,879/month","4,03,000","Mulund, Mumbai"
78,2018 Honda WR-V,1.2L I-VTEC VX MT,Manual,"36,036 km",1st Owner,Petrol,MH-03,"13,411/month","6,86,000","Mulund, Mumbai"
79,2018 Maruti Baleno,RS 1.0 PETROL,Manual,"44,712 km",1st Owner,Petrol,MH-02,"11,085/month","5,67,000","Mulund, Mumbai"
80,2013 Toyota Etios,G SP,Manual,"78,004 km",1st Owner,Petrol,MH-02,"6,256/month","3,20,000","Mulund, Mumbai"
81,2012 Maruti Swift,LXI,Manual,"29,056 km",1st Owner,Petrol,MH-04,"6,588/month","3,37,000","Mulund, Mumbai"
82,2012 Maruti Swift Dzire,LXI,Manual,"66,700 km",2nd Owner,Petrol,MH-02,"6,373/month","3,26,000","Goregaon, Mumbai"
83,2017 Skoda Octavia,L&K 1.8 TSI AT,Automatic,"58,538 km",1st Owner,Petrol,MH-04,"25,277/month","13,28,000","Goregaon, Mumbai"
84,2019 Skoda Rapid,STYLE 1.6 MPI,Manual,"52,529 km",1st Owner,Petrol,MH-03,"15,621/month","7,99,000","Goregaon, Mumbai"
85,2017 Hyundai Verna,1.6 SX (O) CRDI MT,Manual,"47,089 km",1st Owner,Diesel,MH-02,"20,157/month","10,59,000","Mulund, Mumbai"
86,2018 Honda City,1.5L I-VTEC V MT,Manual,"13,267 km",1st Owner,Petrol,MH-47,"15,361/month","8,07,000","Mulund, Mumbai"
87,2012 Maruti Swift Dzire,VXI,Manual,"60,242 km",2nd Owner,Petrol,MH-03,"6,823/month","3,49,000","Goregaon, Mumbai"
88,2015 Honda City,1.5L I-VTEC VX CVT,Automatic,"54,688 km",1st Owner,Petrol,MH-06,"14,545/month","7,44,000","Goregaon, Mumbai"
89,2013 Honda City,1.5L I-VTEC S MT,Manual,"65,683 km",2nd Owner,Petrol,MH-02,"7,234/month","3,70,000","Mulund, Mumbai"
90,2018 Datsun Redi Go,S 1.0 AMT,Automatic,"45,531 km",1st Owner,Petrol,MH-04,"6,628/month","3,39,000","Rupa Renaissance, Navi Mumbai"
91,2018 Hyundai Creta,SX PLUS 1.6 PETROL SPECIAL EDITION,Manual,"26,833 km",2nd Owner,Petrol,MH-02,"17,016/month","8,94,000","Goregaon, Mumbai"
92,2019 Hyundai VENUE,SX PLUS 1.0 TURBO DCT,Automatic,"34,499 km",1st Owner,Petrol,MH-03,"18,463/month","9,70,000","Goregaon, Mumbai"
93,2018 Hyundai Eon,ERA +,Manual,"77,164 km",2nd Owner,Petrol,MH-17,"6,139/month","3,14,000","Rupa Renaissance, Navi Mumbai"
94,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"32,037 km",2nd Owner,Petrol,MH-02,"12,766/month","6,53,000","Mulund, Mumbai"
95,2021 Tata NEXON,XMA SUNROOF DIESEL,Automatic,"32,247 km",2nd Owner,Diesel,MH-03,"18,653/month","9,80,000","Goregaon, Mumbai"
96,2015 Hyundai i20 Active,1.4 SX,Manual,"1,04,874 km",2nd Owner,Diesel,MH-43,"9,873/month","5,05,000","Mulund, Mumbai"
97,2019 Volkswagen Polo,HIGHLINE PLUS 1.0,Manual,"34,054 km",1st Owner,Petrol,MH-01,"14,975/month","7,66,000","Mulund, Mumbai"
98,2017 Maruti Ertiga,VDI SHVS,Manual,"64,470 km",1st Owner,Diesel,MH-46,"16,769/month","8,81,000","Goregaon, Mumbai"
99,2015 Volkswagen Polo,GT TSI AT,Automatic,"97,181 km",2nd Owner,Petrol,MH-03,"10,714/month","5,48,000","Mulund, Mumbai"
100,2016 Honda City,1.5L I-VTEC SV,Manual,"87,241 km",2nd Owner,Petrol,MH-43,"10,635/month","5,44,000","Mulund, Mumbai"
